year,country,region,pf_ss_women_fgm,pf_ss_women_inheritance,pf_movement_women,pf_identity_sex_female,pf_identity_divorce,pf_score,ef_score,hf_score,sex,age,suicides_no,population,suicides_p100k,gdp_per_capita
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,male,75+,12,61956,19.37,3788
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,male,55-74,16,237813,6.73,3788
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,male,35-54,16,350633,4.56,3788
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,male,15-24,5,202220,2.47,3788
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,female,75+,2,102414,1.95,3788
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,female,55-74,6,308349,1.95,3788
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,male,25-34,4,255665,1.56,3788
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,female,35-54,3,408109,0.74,3788
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,female,25-34,2,277452,0.72,3788
2016,Armenia,Caucasus & Central Asia,10,10,10,10,5,6.912803602,7.57,7.241401801,female,15-24,1,195422,0.51,3788
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,male,75+,212,307692,68.9,46976
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,male,55-74,290,928992,31.22,46976
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,male,35-54,260,1281202,20.29,46976
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,male,25-34,86,605922,14.19,46976
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,female,75+,61,478267,12.75,46976
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,male,15-24,58,525977,11.03,46976
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,female,55-74,99,1009403,9.81,46976
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,female,35-54,95,1273241,7.46,46976
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,female,15-24,22,488020,4.51,46976
2016,Austria,Western Europe,10,10,10,10,10,9.246948401,7.58,8.4134742,female,25-34,18,585913,3.07,46976
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,male,75+,104,134519,77.31,12905
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,male,55-74,187,480263,38.94,12905
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,male,35-54,146,571003,25.57,12905
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,male,25-34,48,274466,17.49,12905
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,female,75+,40,246002,16.26,12905
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,female,55-74,69,551758,12.51,12905
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,male,15-24,30,242287,12.38,12905
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,female,35-54,47,570380,8.24,12905
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,female,15-24,6,231038,2.6,12905
2016,Croatia,Eastern Europe,10,10,10,10,10,8.456175752,6.96,7.708087876,female,25-34,6,265327,2.26,12905
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,male,35-54,15,106925,14.03,25098
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,male,15-24,5,58051,8.61,25098
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,male,75+,2,24004,8.33,25098
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,male,55-74,7,85486,8.19,25098
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,male,25-34,2,68167,2.93,25098
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,female,35-54,3,117819,2.55,25098
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,female,25-34,1,71307,1.4,25098
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,female,55-74,1,90294,1.11,25098
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,female,15-24,0,58057,0,25098
2016,Cyprus,Eastern Europe,10,10,10,10,10,8.514393916,7.71,8.112196958,female,75+,0,31234,0,25098
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,male,75+,140,273637,51.16,19505
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,male,55-74,319,1205832,26.45,19505
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,male,35-54,386,1617906,23.86,19505
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,male,25-34,137,729199,18.79,19505
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,male,15-24,78,527890,14.78,19505
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,female,55-74,86,1358948,6.33,19505
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,female,35-54,91,1541109,5.9,19505
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,female,75+,25,480884,5.2,19505
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,female,25-34,34,691963,4.91,19505
2016,Czech Republic,Eastern Europe,10,10,10,10,10,9.029761414,7.56,8.294880707,female,15-24,22,502574,4.38,19505
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,male,75+,214,246437,86.84,13448
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,male,55-74,495,1064355,46.51,13448
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,male,35-54,450,1439105,31.27,13448
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,female,75+,120,521024,23.03,13448
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,male,25-34,98,633114,15.48,13448
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,female,55-74,161,1346205,11.96,13448
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,male,15-24,58,568065,10.21,13448
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,female,35-54,121,1432415,8.45,13448
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,female,25-34,30,602785,4.98,13448
2016,Hungary,Eastern Europe,10,10,10,10,10,8.258945773,7.22,7.739472887,female,15-24,14,536865,2.61,13448
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,male,25-34,8,25029,31.96,64708
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,male,55-74,10,33247,30.08,64708
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,male,35-54,11,44024,24.99,64708
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,male,15-24,6,24099,24.9,64708
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,male,75+,1,8723,11.46,64708
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,female,25-34,2,23233,8.61,64708
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,female,55-74,2,32963,6.07,64708
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,female,15-24,0,22971,0,64708
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,female,35-54,0,43216,0,64708
2016,Iceland,Western Europe,10,10,10,10,10,9.083506216,7.22,8.151753108,female,75+,0,11268,0,64708
2016,Lithuania,Eastern Europe,10,10,10,10,10,8.821338926,7.86,8.340669463,male,75+,78,80426,96.98,15742
2016,Lithuania,Eastern Europe,10,10,10,10,10,8.821338926,7.86,8.340669463,male,55-74,212,277763,76.32,15742
2016,Lithuania,Eastern Europe,10,10,10,10,10,8.821338926,7.86,8.340669463,male,35-54,266,376689,70.62,15742
2016,Lithuania,Eastern Europe,10,10,10,10,10,8.821338926,7.86,8.340669463,male,25-34,96,191346,50.17,15742
2016,Lithuania,Eastern Europe,10,10,10,10,10,8.821338926,7.86,8.340669463,male,15-24,41,177888,23.05,15742
2016,Lithuania,Eastern Europe,10,10,10,10,10,8.821338926,7.86,8.340669463,female,75+,29,193001,15.03,15742
