country,rec_ct_suic_gt0,rec_ct_suic_eq0,perc_zero_suic_recs
Antigua and Barbuda,1,71,0.9861111111111112
Grenada,3,103,0.9716981132075472
Barbados,5,67,0.9305555555555556
Maldives,3,33,0.9166666666666666
Saint Vincent and Grenadines,20,76,0.7916666666666666
Seychelles,25,71,0.7395833333333334
Oman,11,25,0.6944444444444444
Aruba,15,33,0.6875
Bahamas,25,47,0.6527777777777778
Saint Lucia,30,54,0.6428571428571429
Bahrain,38,46,0.5476190476190477
Qatar,52,54,0.5094339622641509
Belize,50,46,0.4791666666666667
Malta,55,41,0.4270833333333333
Bosnia and Herzegovina,14,10,0.4166666666666667
Jamaica,22,14,0.3888888888888889
Albania,23,13,0.3611111111111111
Cyprus,69,37,0.3490566037735849
Kuwait,55,29,0.34523809523809523
United Arab Emirates,24,12,0.3333333333333333
Iceland,77,29,0.27358490566037735
Cabo Verde,9,3,0.25
Fiji,36,12,0.25
Luxembourg,76,20,0.20833333333333334
Greece,82,14,0.14583333333333334
Mauritius,91,15,0.14150943396226415
Turkmenistan,83,13,0.13541666666666666
Panama,84,12,0.125
Trinidad and Tobago,42,6,0.125
Armenia,93,13,0.12264150943396226
Latvia,85,11,0.11458333333333333
Slovenia,85,11,0.11458333333333333
Slovakia,65,7,0.09722222222222222
Georgia,76,8,0.09523809523809523
Estonia,87,9,0.09375
Puerto Rico,87,9,0.09375
Serbia,87,9,0.09375
Montenegro,22,2,0.08333333333333333
Portugal,77,7,0.08333333333333333
Ireland,78,6,0.07142857142857142
Denmark,90,6,0.0625
Finland,90,6,0.0625
Singapore,90,6,0.0625
Bulgaria,79,5,0.05952380952380952
Suriname,79,5,0.05952380952380952
Guyana,68,4,0.05555555555555555
Nicaragua,68,4,0.05555555555555555
Guatemala,91,5,0.052083333333333336
Costa Rica,80,4,0.047619047619047616
Croatia,101,5,0.04716981132075472
Hungary,102,4,0.03773584905660377
Paraguay,81,3,0.03571428571428571
Israel,93,3,0.03125
Norway,93,3,0.03125
Switzerland,93,3,0.03125
Uruguay,82,2,0.023809523809523808
Belgium,94,2,0.020833333333333332
Czech Republic,104,2,0.018867924528301886
Lithuania,104,2,0.018867924528301886
New Zealand,71,1,0.013888888888888888
El Salvador,83,1,0.011904761904761904
Australia,95,1,0.010416666666666666
Cuba,95,1,0.010416666666666666
Kyrgyzstan,95,1,0.010416666666666666
Spain,95,1,0.010416666666666666
Austria,105,1,0.009433962264150943
Netherlands,105,1,0.009433962264150943
Sweden,105,1,0.009433962264150943
Argentina,96,NA,NA
Belarus,72,NA,NA
Brazil,96,NA,NA
Canada,72,NA,NA
Chile,96,NA,NA
Colombia,96,NA,NA
Ecuador,96,NA,NA
France,84,NA,NA
Germany,96,NA,NA
Italy,96,NA,NA
Japan,96,NA,NA
Kazakhstan,96,NA,NA
Mexico,96,NA,NA
Mongolia,10,NA,NA
Philippines,48,NA,NA
Poland,96,NA,NA
Republic of Korea,96,NA,NA
Romania,106,NA,NA
Russian Federation,96,NA,NA
South Africa,96,NA,NA
Thailand,106,NA,NA
Turkey,84,NA,NA
Ukraine,84,NA,NA
United Kingdom,96,NA,NA
United States,96,NA,NA
Uzbekistan,72,NA,NA
