id,record_id,utility_id_ferc1,report_year,plant_name_ferc1,fuel_type_code_pudl,fuel_unit,fuel_qty_burned,fuel_mmbtu_per_unit,fuel_cost_per_unit_burned,fuel_cost_per_unit_delivered,fuel_cost_per_mmbtu
1,f1_fuel_1994_12_1_0_7,1,1994,rockport,coal,ton,5377489.0,16.59,18.59,18.53,1.121
2,f1_fuel_1994_12_1_0_10,1,1994,rockport total plant,coal,ton,10486945.0,16.592,18.58,18.53,1.12
3,f1_fuel_1994_12_2_0_1,2,1994,gorgas,coal,ton,2978683.0,24.13,39.72,38.12,1.65
4,f1_fuel_1994_12_2_0_7,2,1994,barry,coal,ton,3739484.0,23.95,47.21,45.99,1.97
5,f1_fuel_1994_12_2_0_10,2,1994,chickasaw,gas,mcf,40533.0,1.0,2.77,2.77,2.57
6,f1_fuel_1994_12_2_0_13,2,1994,e. c. gaston-unit 5,coal,ton,2124933.0,23.921999999999997,44.24,43.25,1.85
7,f1_fuel_1994_12_2_1_1,2,1994,joseph m. farley,nuclear,kgU,2260.0,0.064094,28.77,0.0,0.45
8,f1_fuel_1994_12_2_1_10,2,1994,resondent's portion,coal,ton,5372133.0,24.84,58.54,55.13,2.36
9,f1_fuel_1994_12_2_2_10,2,1994,respondent's portion,coal,ton,817520.0,24.29,33.97,34.65,1.4
10,f1_fuel_1994_12_4_0_1,4,1994,units 1-3,coal,ton,1471233.0,22.484,28.73,28.11,1.278
11,f1_fuel_1994_12_4_0_2,4,1994,units 1-3,gas,mcf,262720.0,1.026,1.94,1.94,13.9
12,f1_fuel_1994_12_4_0_4,4,1994,unit 4,coal,ton,476779.0,22.428,28.71,28.11,1.28
13,f1_fuel_1994_12_4_0_5,4,1994,unit 4,gas,mcf,6673.0,1.026,1.94,1.94,1.9
14,f1_fuel_1994_12_6_0_1,6,1994,clinch river,coal,ton,1655558.0,25.038,30.248,29.019,1.208
15,f1_fuel_1994_12_6_0_2,6,1994,clinch river,oil,bbl,6510.0,5.875338,32.13,23.444,5.469
16,f1_fuel_1994_12_6_0_4,6,1994,amos-apco share,coal,ton,3520831.0,24.508,44.404,42.915,1.812
17,f1_fuel_1994_12_6_0_7,6,1994,amos-total,coal,ton,5327281.0,24.538,44.312,42.94,1.806
18,f1_fuel_1994_12_6_0_10,6,1994,glen lyn,coal,ton,666975.0,25.836000000000002,36.268,32.893,1.404
19,f1_fuel_1994_12_6_0_13,6,1994,kanawha river,coal,ton,391864.0,25.159999999999997,46.024,42.034,1.829
20,f1_fuel_1994_12_6_0_14,6,1994,kanawha river,oil,bbl,3505.0,5.774958000000001,33.321,26.28,5.77
21,f1_fuel_1994_12_6_1_7,6,1994,mountainr,coal,ton,2837040.0,24.526,39.911,38.717,1.627
22,f1_fuel_1994_12_6_1_8,6,1994,mountainr,oil,bbl,50013.0,5.845644,30.319,23.884,5.187
23,f1_fuel_1994_12_6_1_10,6,1994,philip sporn-apco,coal,ton,383043.0,24.334000000000003,39.85,35.856,1.638
